Time (ms),Theta_1_deg,Theta_1_rad,y,y_real,y_delta,Theta _2_deg,Theta_2_rad
4275,-2.564872,-0.044765461,-36.21947,36.5,0.28053,57.95656,1.011532795
4309,-5.037777,-0.087925796,-36.37917,36.5,0.12083,54.41922,0.949794565
4343,-7.302267,-0.127448602,-36.51784,36.5,-0.01784,49.09689,0.856902383
4377,-9.363346,-0.163421217,-36.62222,36.5,-0.12222,42.49582,0.741691977
4411,-11.20038,-0.195483508,-36.69743,36.5,-0.19743,35.06833,0.612057822
4445,-12.77515,-0.22296843,-36.75025,36.5,-0.25025,27.17846,0.474353613
4479,-14.03383,-0.24493654,-36.77963,36.5,-0.27963,19.14502,0.334143634
4521,-14.91994,-0.260402077,-36.78016,36.5,-0.28016,11.27872,0.196850799
4555,-15.41825,-0.269099227,-36.74789,36.5,-0.24789,3.86743,0.067499387
4588,-15.60499,-0.272358455,-36.68087,36.5,-0.18087,-2.816547,-0.049158019
4621,-15.63541,-0.272889384,-36.57883,36.5,-0.07883,-8.458679,-0.147631799
4654,-15.65939,-0.273307914,-36.4472,36.5,0.0528,-12.70652,-0.22177061
4688,-15.73339,-0.274599458,-36.30076,36.5,0.19924,-15.27069,-0.26652382
4721,-15.7806,-0.275423428,-36.15936,36.5,0.34064,-16.04747,-0.280081188
4754,-15.63827,-0.272939301,-36.04071,36.5,0.45929,-15.1845,-0.26501952
4788,-15.1957,-0.265214997,-35.96143,36.5,0.53857,-13.02759,-0.227374339
4821,-14.4807,-0.252735893,-35.94286,36.5,0.55714,-9.993173,-0.174413772
4854,-13.5679,-0.236804528,-35.99996,36.5,0.50004,-6.505692,-0.113545746
4888,-12.45316,-0.217348644,-36.1131,36.5,0.3869,-2.99262,-0.052231072
4921,-11.09155,-0.193584067,-36.23198,36.5,0.26802,0.1888617,0.003296258
4954,-9.510888,-0.16599631,-36.32242,36.5,0.17758,2.855784,0.049842834
4988,-7.820829,-0.136499216,-36.38802,36.5,0.11198,5.007079,0.087390014
5021,-6.130688,-0.107000691,-36.44373,36.5,0.05627,6.728255,0.117430203
5054,-4.485553,-0.078287669,-36.49725,36.5,0.00275,8.082433,0.141065067
5088,-2.892551,-0.050484539,-36.55356,36.5,-0.05356,9.09971,0.1588199
5154,-1.404809,-0.024518542,-36.60825,36.5,-0.10825,9.863353,0.172147985
5188,-0.1311797,-0.002289518,-36.64412,36.5,-0.14412,10.51962,0.183602005
5221,0.8538014,0.014901646,-36.65383,36.5,-0.15383,11.17154,0.194980156
5254,1.575169,0.027491885,-36.64936,36.5,-0.14936,11.83591,0.206575599
5288,2.136358,0.037286481,-36.64551,36.5,-0.14551,12.50406,0.218237017
5321,2.653675,0.046315366,-36.65074,36.5,-0.15074,13.1827,0.230081519
5355,3.204757,0.055933561,-36.66636,36.5,-0.16636,13.87729,0.242204402
5388,3.824117,0.066743433,-36.68621,36.5,-0.18621,14.57612,0.254401286
5421,4.525473,0.078984404,-36.70262,36.5,-0.20262,15.26512,0.266426605
5454,5.306,0.09260717,-36.71008,36.5,-0.21008,15.94933,0.278368322
5488,6.138275,0.107133109,-36.70589,36.5,-0.20589,16.65709,0.290721064
5521,6.984492,0.121902382,-36.69479,36.5,-0.19479,17.42983,0.304207922
5555,7.822739,0.136532552,-36.68419,36.5,-0.18419,18.30647,0.319508176
5588,8.660256,0.151149981,-36.66927,36.5,-0.16927,19.30918,0.337008767
5621,9.524609,0.166235787,-36.63232,36.5,-0.13232,20.45056,0.356929606
5654,10.43215,0.182075366,-36.5584,36.5,-0.0584,21.7678,0.379919781
5688,11.3611,0.198288602,-36.44782,36.5,0.05218,23.33523,0.407276595
5712,12.23926,0.213615385,-36.3168,36.5,0.1832,25.23851,0.440495098
5746,12.91128,0.225344347,-36.19496,36.5,0.30504,27.56585,0.481114844
5780,13.11783,0.228949324,-36.11377,36.5,0.38623,30.40947,0.530745375
5814,12.58138,0.219586505,-36.07867,36.5,0.42133,33.82503,0.590358143
5848,11.17196,0.194987486,-36.06051,36.5,0.43949,37.76501,0.659123767
5883,9.006024,0.157184771,-36.03102,36.5,0.46898,42.01648,0.733325916
5916,6.384902,0.111437562,-35.99899,36.5,0.50101,46.15314,0.805524253
5951,3.637129,0.063479876,-36.0022,36.5,0.4978,49.55097,0.864827574
5984,1.00838,0.017599551,-36.06875,36.5,0.43125,51.52878,0.899346871
6018,-1.374573,-0.023990825,-36.19316,36.5,0.30684,51.5858,0.900342057
6052,-3.505936,-0.061190127,-36.34916,36.5,0.15084,49.59146,0.865534258
6086,-5.450819,-0.095134738,-36.51287,36.5,-0.01287,45.79947,0.799351547
6120,-7.273258,-0.126942299,-36.66696,36.5,-0.16696,40.69677,0.710292631
6154,-9.000992,-0.157096946,-36.7975,36.5,-0.2975,34.75109,0.606520939
6188,-10.61192,-0.185212944,-36.89844,36.5,-0.39844,28.1705,0.491667977
6222,-12.02694,-0.209909702,-36.97208,36.5,-0.47208,20.91214,0.364985697
6256,-13.13407,-0.229232766,-37.01979,36.5,-0.51979,12.96259,0.226239875
6290,-13.85061,-0.241738748,-37.03416,36.5,-0.53416,4.628609,0.080784467
6332,-14.20671,-0.247953865,-36.99973,36.5,-0.49973,-3.393501,-0.059227766
6366,-14.39233,-0.251193546,-36.90523,36.5,-0.40523,-10.24657,-0.178836384
6399,-14.65574,-0.255790917,-36.7658,36.5,-0.2658,-15.17553,-0.264862964
6465,-15.06556,-0.262943626,-36.62712,36.5,-0.12712,-17.69635,-0.308859573
