Time (ms),Theta 1,y,Theta 2,Theta 2 Optimized
11092,,,38.41068,
11126,,,43.47367,
11161,,,48.22612,
11194,,,51.89977,
11228,,,53.88823,
11262,,,53.83174,
11296,,,51.61378,
11330,,,47.36382,
11364,,,41.55879,
11398,,,35.15969,
11432,,,29.59582,
11474,,,26.27502,
11541,,,25.72365,
11574,,,27.24412,
11608,,,29.60298,
11641,,,31.98519,
11674,,,34.19178,
11707,,,36.31029,
11740,,,38.43102,
11774,,,40.53601,
11807,,,,
11840,,,,
11874,,,,
11907,,,,
11941,,,,
11974,,,,
11999,,,,
