Time (ms),Theta_1,y_measured,y_real,y,theta_1_rad
5712,12.23926,-36.3168,36.5,0.1832,0.213615385
5746,12.91128,-36.19496,36.5,0.30504,0.225344347
5780,13.11783,-36.11377,36.5,0.38623,0.228949324
5814,12.58138,-36.07867,36.5,0.42133,0.219586505
5848,11.17196,-36.06051,36.5,0.43949,0.194987486
5883,9.006024,-36.03102,36.5,0.46898,0.157184771
5916,6.384902,-35.99899,36.5,0.50101,0.111437562
5951,3.637129,-36.0022,36.5,0.4978,0.063479876
5984,1.00838,-36.06875,36.5,0.43125,0.017599551
6018,-1.374573,-36.19316,36.5,0.30684,-0.023990825
6052,-3.505936,-36.34916,36.5,0.15084,-0.061190127
6086,-5.450819,-36.51287,36.5,-0.01287,-0.095134738
6120,-7.273258,-36.66696,36.5,-0.16696,-0.126942299
6154,-9.000992,-36.7975,36.5,-0.2975,-0.157096946
6188,-10.61192,-36.89844,36.5,-0.39844,-0.185212944
6222,-12.02694,-36.97208,36.5,-0.47208,-0.209909702
6256,-13.13407,-37.01979,36.5,-0.51979,-0.229232766
6290,-13.85061,-37.03416,36.5,-0.53416,-0.241738748
6332,-14.20671,-36.99973,36.5,-0.49973,-0.247953865
6366,-14.39233,-36.90523,36.5,-0.40523,-0.251193546
6399,-14.65574,-36.7658,36.5,-0.2658,-0.255790917
6465,-15.06556,-36.62712,36.5,-0.12712,-0.262943626
6499,-15.3904,-36.52557,36.5,-0.02557,-0.268613153
6532,-15.2906,-36.45593,36.5,0.04407,-0.266871315
6557,-14.61165,-36.40689,36.5,0.09311,-0.255021402
6591,-13.45511,-36.4007,36.5,0.0993,-0.234835971
6625,-12.0323,-36.45724,36.5,0.04276,-0.210003252
6667,-10.4996,-36.54348,36.5,-0.04348,-0.18325259
6701,-8.903543,-36.60235,36.5,-0.10235,-0.15539614
6734,-7.237059,-36.62044,36.5,-0.12044,-0.126310508
6768,-5.521686,-36.63259,36.5,-0.13259,-0.096371601
6800,-3.823202,-36.66933,36.5,-0.16933,-0.066727463
6834,-2.204932,-36.72974,36.5,-0.22974,-0.038483323
6867,-0.7046202,-36.79784,36.5,-0.29784,-0.012297942
6900,0.6419164,-36.86073,36.5,-0.36073,0.011203555
6934,1.795858,-36.91091,36.5,-0.41091,0.031343635
6967,2.750035,-36.94707,36.5,-0.44707,0.047997165
6992,3.558152,-36.97709,36.5,-0.47709,0.062101468
7026,4.327987,-37.0138,36.5,-0.5138,0.075537623
7060,5.166858,-37.06406,36.5,-0.56406,0.090178684
7094,6.120143,-37.12263,36.5,-0.62263,0.106816646
7128,7.168763,-37.17719,36.5,-0.67719,0.125118518
7170,8.26466,-37.21747,36.5,-0.71747,0.144245529
7203,9.351357,-37.23774,36.5,-0.73774,0.163211969
7237,10.38212,-37.23498,36.5,-0.73498,0.181202177
7262,11.34481,-37.20908,36.5,-0.70908,0.198004288
7296,12.26802,-37.16253,36.5,-0.66253,0.214117342
7330,13.19919,-37.09958,36.5,-0.59958,0.230369324
7364,14.16459,-37.02473,36.5,-0.52473,0.247218733
7398,15.14697,-36.93738,36.5,-0.43738,0.264364498
7432,16.0904,-36.83821,36.5,-0.33821,0.280830458
7465,16.87257,-36.74658,36.5,-0.24658,0.2944819
7499,17.25838,-36.69283,36.5,-0.19283,0.301215555
7533,16.94763,-36.68386,36.5,-0.18386,0.295791944
7567,15.73639,-36.68909,36.5,-0.18909,0.274651818
7601,13.6434,-36.6689,36.5,-0.1689,0.238122251
7635,10.8496,-36.61762,36.5,-0.11762,0.189361243
7677,7.546216,-36.57876,36.5,-0.07876,0.131706315
7711,3.942625,-36.60435,36.5,-0.10435,0.068811787
7778,0.3870702,-36.69361,36.5,-0.19361,0.006755649
7811,-2.747595,-36.79849,36.5,-0.29849,-0.047954579
7836,-5.336682,-36.8857,36.5,-0.3857,-0.093142672
7870,-7.49612,-36.95699,36.5,-0.45699,-0.130831975
7904,-9.352769,-37.01849,36.5,-0.51849,-0.163236613
7938,-10.94034,-37.06136,36.5,-0.56136,-0.190944954
7972,-12.24381,-37.07296,36.5,-0.57296,-0.213694797
8006,-13.25524,-37.05247,36.5,-0.55247,-0.231347581
8048,-14.01952,-37.00872,36.5,-0.50872,-0.244686784
8081,-14.66469,-36.95061,36.5,-0.45061,-0.255947124
8114,-15.35896,-36.88535,36.5,-0.38535,-0.268064422
